"","plots","grass.cover","shrub.density","mature.tree.density","sapling.density","snag.density","year","Na","Ca","dist_to_shore"
"135","MAFOR04",0,110.619469026549,0,132.743362831858,110.619469026549,"2016",376,376,64.18187161
"48","MAFOR05",0,88.4955752212389,331.858407079646,1194.69026548673,464.601769911504,"2004",330,820,444.6707715
"121","MAFOR05",0,294.585987261146,79.6178343949045,437.898089171975,660.828025477707,"2016",508,486,504.2531347
"49","MAFOR06",0,132.743362831858,132.743362831858,1393.80530973451,44.2477876106195,"2004",453,644,581.4449543
"130","MAFOR06",0,2477.87610619469,0,88.4955752212389,685.840707964602,"2016",617,583,338.1172596
"43","MAFOR10",0,110.619469026549,88.4955752212389,1659.29203539823,132.743362831858,"2004",757,865,151.4305595
"122","MAFOR10",0,597.345132743363,22.1238938053097,1216.81415929204,1371.6814159292,"2016",595,525,148.8145533
"44","MAFOR11",0,44.2477876106195,66.3716814159292,1216.81415929204,154.867256637168,"2004",559,753,530.3522889
"134","MAFOR11",0,663.716814159292,0,309.734513274336,398.230088495575,"2016",566,445,528.2978957
"45","MAFOR12",0,66.3716814159292,132.743362831858,995.575221238938,66.3716814159292,"2004",737,940,474.3892409
"133","MAFOR12",0,353.982300884956,0,353.982300884956,88.4955752212389,"2016",605,436,433.0741213
"52","MAMAR02",58,0,0,0,0,"2004",7425,2281,269.9731969
"136","MAMAR02",76,0,0,0,0,"2016",3569,964,282.2803008
"53","MAMAR03",60,0,0,0,0,"2004",5008,3313,390.4601764
"127","MAMAR03",75,0,0,0,0,"2016",2203,880,344.1432585
"54","MAMAR04",100,0,0,0,0,"2004",7897,1840,467.3776117
"131","MAMAR04",87,0,0,0,0,"2016",3430,697,297.9294977
"55","MAMAR05",87,0,0,0,0,"2004",6255,2060,225.5963575
"137","MAMAR05",67,0,0,0,0,"2016",1557,850,164.3430078
"56","MAMAR07",98,0,0,0,0,"2004",5597,1494,128.4793465
"132","MAMAR07",97,0,0,0,0,"2016",2470,766,218.1230493
"50","MAMAR10",82,0,0,0,0,"2004",6167,2500,107.8356807
"138","MAMAR10",54,0,0,22.1238938053097,0,"2016",1455,602,268.2269022
"51","MAMAR11",71,0,0,0,0,"2004",2586,1675,162.0428044
"128","MAMAR11",37,0,0,0,0,"2016",2358,1109,417.0840117
"57","MATRA01",71,22.1238938053097,0,132.743362831858,0,"2004",5545,2682,504.3478006
"126","MATRA01",34,0,0,66.3716814159292,66.3716814159292,"2016",1881,1195,494.2953273
"58","MATRA02",76,0,22.1238938053097,88.4955752212389,22.1238938053097,"2004",3493,2367,539.9489309
"125","MATRA02",79,0,0,154.867256637168,44.2477876106195,"2016",1591,1094,463.4081565
"59","MATRA03",33,0,0,110.619469026549,0,"2004",1985,1627,486.1280901
"124","MATRA03",57,0,0,66.3716814159292,110.619469026549,"2016",1456,1165,367.9387765
"60","MATRA04",27.4,0,44.2477876106195,176.991150442478,44.2477876106195,"2004",4357,2544,27.65484451
"196","MATRA04",36,0,0,0,0,"2016",2683,1416,52.2237445
"61","MATRA05",93.8,0,0,44.2477876106195,22.1238938053097,"2004",1356,1593,139.4305083
"119","MATRA05",78,0,0,0,23.8853503184713,"2016",953,886,30.28705295
"62","MATRA06",41,0,0,110.619469026549,44.2477876106195,"2004",845,1281,101.2580075
"129","MATRA06",38,44.2477876106195,22.1238938053097,376.106194690266,221.238938053097,"2016",1277,839,83.60605182
"63","MATRA07",73,0,0,0,22.1238938053097,"2004",769,870,146.2373648
"120","MATRA07",81,0,0,15.9235668789809,23.8853503184713,"2016",1228,790,31.40727243
"66","PPFOR02",0,0,243.362831858407,331.858407079646,44.2477876106195,"2004",139,272,18.23193301
"143","PPFOR02",0,44.2477876106195,221.238938053097,840.70796460177,176.991150442478,"2016",238,246,24.15255151
"68","PPFOR04",0,176.991150442478,44.2477876106195,398.230088495575,0,"2004",353,721,79.1012744
"139","PPFOR04",0,925,150,2925,625,"2016",512,413,96.11368137
"69","PPFOR05",0,0,22.1238938053097,44.2477876106195,154.867256637168,"2004",282,595,37.64983594
"147","PPFOR05",0,287.610619469027,44.2477876106195,1349.55752212389,199.115044247788,"2016",289,230,163.6075655
"70","PPFOR07",0,132.743362831858,0,199.115044247788,154.867256637168,"2004",429,716,432.6117002
"146","PPFOR07",0,0,309.734513274336,862.83185840708,110.619469026549,"2016",347,329,360.3121695
"64","PPFOR11",0,22.1238938053097,176.991150442478,110.619469026549,88.4955752212389,"2004",258,1058,366.2254855
"149","PPFOR11",0,199.115044247788,22.1238938053097,2765.48672566372,663.716814159292,"2016",229,222,334.1852316
"65","PPFOR13",0,0,353.982300884956,243.362831858407,22.1238938053097,"2004",155,762,400.5121511
"142","PPFOR13",0,176.991150442478,309.734513274336,929.203539823009,66.3716814159292,"2016",154,131,299.0981644
"67","PPFOR20",0,88.4955752212389,132.743362831858,88.4955752212389,22.1238938053097,"2004",274,429,362.7263012
"148","PPFOR20",0,376.106194690266,154.867256637168,1216.81415929204,176.991150442478,"2016",502,421,174.5939908
"74","PPTRA02",0,0,0,22.1238938053097,0,"2004",228,732,236.0852573
"140","PPTRA02",0,700,50,875,150,"2016",265,393,236.1036656
"75","PPTRA03",0,0,0,0,0,"2004",223,638,301.9636139
"144","PPTRA03",3,309.734513274336,44.2477876106195,995.575221238938,132.743362831858,"2016",337,382,128.7396466
"76","PPTRA04",0,0,0,0,0,"2004",240,651,185.5807621
"141","PPTRA04",0,2025,50,2250,75,"2016",307,221,217.556011
"77","PPTRA06",0,0,0,0,0,"2004",156,499,423.5132735
"145","PPTRA06",0,176.991150442478,44.2477876106195,1327.43362831858,132.743362831858,"2016",211,278,538.870613
"71","PPTRA10",0,0,0,0,0,"2004",771,965,532.3720594
"152","PPTRA10",0,1504.42477876106,0,1659.29203539823,420.353982300885,"2016",855,562,454.6002287
"72","PPTRA11",4,0,0,0,0,"2004",688,858,459.4380529
"151","PPTRA11",0,818.58407079646,0,1415.92920353982,243.362831858407,"2016",698,421,479.4361256
"73","PPTRA12",17,0,0,0,0,"2004",410,941,500.3514648
"150","PPTRA12",0,265.486725663717,0,1438.05309734513,309.734513274336,"2016",543,517,994.5874732
"78","SWFOR01",30,0,287.610619469027,597.345132743363,376.106194690266,"2004",1416,791,988.0252811
"174","SWFOR01",38,0,243.362831858407,199.115044247788,176.991150442478,"2016",586,399,1053.479321
"79","SWFOR02",42,0,265.486725663717,442.477876106195,575.221238938053,"2004",1447,1011,1065.15404
"161","SWFOR02",32,199.115044247788,176.991150442478,353.982300884956,44.2477876106195,"2016",1007,701,1023.197855
"80","SWFOR03",46,22.1238938053097,88.4955752212389,619.469026548673,132.743362831858,"2004",2526,1755,1010.362116
"159","SWFOR03",57,66.3716814159292,88.4955752212389,221.238938053097,199.115044247788,"2016",1184,580,1084.529492
"81","SWFOR04",18,22.1238938053097,265.486725663717,221.238938053097,176.991150442478,"2004",1992,1131,1157.497236
"160","SWFOR04",44,420.353982300885,132.743362831858,132.743362831858,376.106194690266,"2016",627,510,1140.354109
"82","SWFOR05",82,0,22.1238938053097,44.2477876106195,154.867256637168,"2004",1332,1013,906.1089206
"157","SWFOR05",69,0,0,0,110.619469026549,"2016",1838,948,898.6088426
"83","SWFOR06",16,0,176.991150442478,420.353982300885,907.079646017699,"2004",1983,1524,902.372793
"175","SWFOR06",41,398.230088495575,176.991150442478,376.106194690266,641.592920353982,"2016",1151,656,975.4820852
"84","SWFOR07",56,0,132.743362831858,132.743362831858,243.362831858407,"2004",1825,1269,975.0631866
"158","SWFOR07",18,486.725663716814,176.991150442478,132.743362831858,287.610619469027,"2016",1692,771,1008.829337
"85","SWMAR01",94.2,0,0,0,22.1238938053097,"2004",8819,2040,930.8014891
"156","SWMAR01",88,0,0,0,88.4955752212389,"2016",3784,1093,1094.744768
"86","SWMAR02",100.8,0,0,0,0,"2004",6275,1367,1014.97028
"186","SWMAR02",52,0,0,0,0,"2016",1284,392,1161.160807
"87","SWMAR03",100,0,0,0,22.1238938053097,"2004",7160,1697,1053.837877
"185","SWMAR03",66,0,0,0,22.1238938053097,"2016",2552,733,1094.370878
"88","SWMAR04",82,0,0,0,44.2477876106195,"2004",8277,1962,178.6337749
"155","SWMAR04",79,0,0,0,22.1238938053097,"2016",2627,948,214.2237601
"89","SWMAR05",42,0,0,0,66.3716814159292,"2004",4480,1987,157.6499896
"154","SWMAR05",63,0,0,0,0,"2016",2343,1287,142.4853528
"90","SWMAR06",72,0,0,0,0,"2004",8521,1717,237.6068842
"184","SWMAR06",38,0,0,0,0,"2016",1880,847,265.8640428
"91","SWMAR07",51,0,0,0,88.4955752212389,"2004",4364,1941,254.9111273
"187","SWMAR07",23,0,0,0,0,"2016",1377,953,57.74494136
"92","SWTRA01",38,0,22.1238938053097,22.1238938053097,597.345132743363,"2004",5068,1432,138.1042966
"183","SWTRA01",26,0,0,0,44.2477876106195,"2016",2370,1020,43.40792667
